hotel_id,name,location,phone,website,historic_area,price_range,accepted_payment,booking_restrictions,cancellation_restrictions,amenities
H0001,Ballastone Inn,14 E Oglethorpe Ave (Between Bull and Drayton Sts),(912)236-1484,,Savannah Historic District,$215–$395 All Year,"AX, MC, VI",2-night minimum stay on weekends,21 day cancellation notice fee imposed.,"Full breakfast and high-speed Internet, Wireless Internet, Wireless Internet, full breakfast, video library, CD players, hair dryers"
H0002,Baymont Inn & Suites,3.5 miles from Historic Downtown Savannah (Savannah Historic District),(912)964-8669,www.BaymontinnGC.com,Savannah Historic District,,,,,"Starbucks coffee, expanded breakfast, massage chair, Free shuttle service, Meeting room, corporate rates, pillow-top beds, granite bathrooms, 42” plasma TVs, Wi-Fi"
H0003,Comfort Suites Historic District,"630 W Bay St (I-16, exit 167 (Montgomery St), 0.9 mi N on Bay St)",(912)629-2001,,Savannah Historic District,$129–$289 3/1–11/30; $99–$179 12/1–2/28,"AX, DC, DS, JC, MC, VI",,,"Valet & coin laundry, wireless Internet, Meeting rooms, business center, Heated indoor pool, whirlpool, Internet, irons, hair dryers, dual phone lines, voice mail"
H0004,Courtyard by Marriott Savannah Historic District,"415 W Liberty St (I-16, exit 167 (Montgomery St), 0.4 mi N)",(912)790-8287,,Savannah Historic District,$133–$195 All Year,"AX, CB, DC, DS, MC, VI",,Cancellation notice fee imposed.,"Valet & coin laundry, wireless Internet, Meeting rooms, business center, Heated outdoor pool, whirlpool, dual phone lines, voice mail, hair dryers, high-speed Internet"
H0005,DoubleTree Hotel Historic Savannah,"411 W Bay St (I-16, exit 167 (Montgomery St), 0.6 mi N)",(912)790-7000,,Savannah Historic District,$99–$249 All Year,"AX, CB, DC, DS, MC, VI","Check-in at 4pm, 1-30 night minimum stay",Cancellation notice fee imposed.,"Local telephone calls and high-speed Internet, Valet & wireless Internet, Meeting rooms, business center, Heated outdoor pool, whirlpool, exercise room, irons, hair dryers, dual phone lines, voice mail"
H0006,Dresser Palmer House,211 E Gaston St (Between Abercorn and Lincoln Sts),(912)238-3294,,Savannah Historic District,"$149–$429 All Year, seasonal weekend rates.","AX, DS, MC, VI",2-night minimum stay for seasonal and/or weekends. Age restrictions apply,7-day cancellation notice required,"Wireless Internet, Irons, hair dryers"
H0007,East Bay Inn,"225 E Bay St (I-16, exit 167 (Montgomery St), 0.8 mi N)",(912)238-1225,,Savannah Historic District,$189–$269 All Year,"AX, CB, DC, DS, MC, VI",2-3-night minimum stay on weekends.,7-day cancellation notice required,"Expanded continental breakfast, high-speed Internet, Valet parking, wireless Internet, CD players, safes, irons, hair dryers"
H0008,Eliza Thompson House Inn,5 W Jones St (Between Whitaker and Bull Sts),(912)236-3620,,Savannah Historic District,$209–$369 All Year,"AX, DC, DS, MC, VI",2-night minimum stay for weekends. Age restrictions apply,7-day cancellation notice required,"Expanded continental breakfast, high-speed Internet, Wireless Internet, CD players, irons, hair dryers, DVD players"
H0009,Fairfield Inn Savannah Airport,"10 Stephen S Green Dr (I-95, exit 104, just east)",(912)965-9777,,,$138–$148 All Year,"AX, CB, DC, DS, MC, VI",,Cancellation notice fee imposed.,"Local telephone calls and high-speed Internet, Valet laundry, area transportation, wireless Internet, Meeting rooms, PC access, Voice mail, hair dryers, heated indoor pool, high-speed Internet"
H0010,Foley House Inn,14 W Hull St on Chippewa Square (Between Bull and Whitaker Sts),(912)232-6622,,Savannah Historic District,$225–$415 All Year,"AX, DS, MC, VI",Age restrictions apply,10-day cancellation notice required,"Full breakfast and high-speed Internet, Valet laundry, wireless Internet, Irons, hair dryers, wireless Internet"
H0011,Four Points by Sheraton,"15 Jay R Turner Dr (I-95, exit 104, 0.4 mi east)",(912)629-1500,,,,"AX, CB, DC, DS, MC, VI",,,"Local telephone calls and newspaper, Valet laundry, area transportation, wireless Internet, Business center, Voice mail, irons, hair dryers"
H0012,Hamilton-Turner Inn,"330 Abercorn St (Between E Charlton and E Harris Sts, overlooking Lafayette Square)",(912)233-1833,,Savannah Historic District,$295–$349 All Year,"AX, DS, MC, VI",2-night minimum stay for weekends. Age restrictions apply,10-day cancellation notice required,"Full breakfast and high-speed Internet, Wireless Internet, DVD players, CD players, irons, hair dryers"
H0013,Hampton Inn – Savannah Historic District,201 E Bay St (Corner of Abercorn St),(912)231-9700,,Savannah Historic District,$152–$186 All Year,"AX, CB, DC, DS, MC, VI","Check-in at 4pm, 1-30 night minimum stay",Cancellation notice fee imposed.,"Expanded continental breakfast and high-speed Internet, Valet laundry, wireless Internet, Meeting rooms, PC access, High-speed Internet, irons, hair dryers"
H0014,Hampton Inn & Suites,201 Martin Luther King Jr Blvd (Jct Oglethorpe Ave),(912)721-1600,www.Savannahhistoricsuites.hamptoninn.com,Savannah Historic District,$139–$389 All Year,"AX, CB, DC, DS, JC, MC, VI",Check-in at 4pm,Cancellation notice fee imposed.,"Expanded continental breakfast and high-speed Internet, Valet & coin laundry, wireless Internet, Meeting rooms, business center, High-speed Internet, voice mail, irons, hair dryers"
H0015,Hampton Inn & Suites I-95 Gateway,"591 Al Henderson Blvd (I-95, exit 94 (SR 204/Abercorn St))",(912)921-1515,,,$128–$169 All Year,"AX, CB, DC, DS, MC, VI",,,"Expanded breakfast and high-speed Internet, Valet and coin laundry, wireless Internet, Meeting rooms, business center, Voice mail, safes, irons, hair dryers"
H0016,Hawthorn Suites,"4 Stephen S Green Ave (I-95, exit 104, 0.4 mi west)",(912)966-0020,,,$109–$159 All Year,"AX, DC, DS, MC, VI",Early check-in and late check-out available,Cancellation notice fee imposed.,"Continental breakfast and high-speed Internet, Valet and coin laundry, wireless Internet, Meeting rooms, business center, Voice mail, high-speed Internet, dual phone lines, irons, hair dryers"
H0017,Hilton Garden Inn,"80 Clyde E Martin Dr (I-95, exit 104, just SE)",(912)964-5550,,,$79–$179 All Year,"AX, CB, DC, DS, MC, VI",1-30 night minimum stay,Cancellation notice fee imposed.,"Local telephone calls, Valet and coin laundry, area transportation, wireless Internet, Meeting rooms, business center, Video games (fee), high-speed Internet, dual phone lines, irons, hair dryers"
H0018,Hilton Garden Inn Historic Savannah,"321 W Bay St (I-16, exit 167 (Montgomery St), 0.8 mi NE)",(912)721-5000,,Savannah Historic District,,"AX, DC, DS, MC, VI","Check-in at 4pm, 1-30 night minimum stay",Cancellation notice fee imposed.,"Local telephone calls and high-speed Internet, Valet & coin laundry, wireless Internet, Meeting rooms, business center, Video games (fee), high-speed Internet, irons, hair dryers"
H0019,Hilton Garden Inn Savannah Midtown,5711 Abercorn St (Jct SR 204/21),(912)652-9300,,,$79–$399 All Year,"AX, CB, DC, DS, MC, VI","Check-in at 4pm, 1-30 night minimum stay",Cancellation notice fee imposed.,"Local telephone calls, Valet and coin laundry, area transportation, wireless Internet, Meeting rooms, business center, Video games (fee), high-speed Internet, dual phone lines, irons, hair dryers"
H0020,Holiday Inn Express,"17 Gateway Blvd E (I-95, exit 94 (SR 204/Abercorn St))",(912)925-2700,,,$100–$109 All Year,"AX, CB, DC, DS, MC, VI",Check-in at 4pm,,"Expanded breakfast, high-speed Internet, Coin laundry, wireless Internet, Meeting rooms, business center, Voice mail, safes, irons, hair dryers"
H0021,Homewood Suites by Hilton,"5820 White Bluff Rd (Jct SR 21/204 (Abercorn St), 0.5 mi S)",(912)353-8500,,,$149–$229 3/1–11/30; $139–$229 12/1–2/28,"AX, CB, DC, DS, MC, VI",3-night minimum stay for seasonal,Cancellation notice fee imposed.,"Continental breakfast, high-speed Internet, Valet and coin laundry, wireless Internet, Meeting rooms, business center, Video games (fee), high-speed Internet, dual phone lines, irons, hair dryers"
H0022,Howard Johnson Express Inn,"17003 Abercorn St (I-95, exit 94 (SR 204))",(912)925-7050,,,$79–$99 All Year,"AX, CB, DC, DS, MC, VI",,,"Local telephone calls and high-speed Internet, Wireless Internet, Business center, Voice mail, safes, irons, hair dryers"
H0023,La Quinta Inn & Suites,8484 Abercorn St (Jct SR 21/204 (Abercorn St)),(912)927-7660,,,$59–$149 All Year,"AX, CB, DC, DS, MC, VI",,,"Expanded breakfast, high-speed Internet, Valet and coin laundry, wireless Internet, Meeting rooms, business center, Video games (fee), high-speed Internet, irons, hair dryers"
